ID,Song Name,Artist,Cover Image URL,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
2dpaYNEQHiRxtZbfNsse99,Happier,"Marshmello, Bastille",https://i.scdn.co/image/ab67616d0000b27304bfd5a5fd5aa6ca648f66aa,0.687,0.792,-2.749,0.0452,0.191,0.0,0.167,0.671,100.011
1JSTJqkT5qHq8MDJnJbRE1,Every Breath You Take,The Police,https://i.scdn.co/image/ab67616d0000b273c8e97cafeb2acb85b21a777e,0.82,0.452,-9.796,0.0348,0.543,0.00294,0.0714,0.74,117.401
7DSAEUvxU8FajXtRloy8M0,Flowers,Miley Cyrus,https://i.scdn.co/image/ab67616d0000b273cd222052a2594be29a6616b5,0.706,0.691,-4.775,0.0633,0.0584,6.99e-05,0.0232,0.632,118.048
0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,Bruno Mars,https://i.scdn.co/image/ab67616d0000b273232711f7d66a1e19e89e28c5,0.853,0.56,-4.961,0.0406,0.013,0.0,0.0944,0.86,134.066
60a0Rd6pjrkxjPbaKzXjfq,In the End,Linkin Park,https://i.scdn.co/image/ab67616d0000b273e2f039481babe23658fc719a,0.556,0.864,-5.87,0.0584,0.00958,0.0,0.209,0.4,105.143
2xLMifQCjDGFmkHkpNLD9h,SICKO MODE,Travis Scott,https://i.scdn.co/image/ab67616d0000b273072e9faef2ef7b6db63834a3,0.834,0.73,-3.714,0.222,0.00513,0.0,0.124,0.446,155.008
7GX5flRQZVHRAGd6B4TmDO,XO Tour Llif3,Lil Uzi Vert,https://i.scdn.co/image/ab67616d0000b273aab4824c720639a6a2d7d932,0.732,0.75,-6.366,0.231,0.00264,0.0,0.109,0.401,155.096
5g7sDjBhZ4I3gcFIpkrLuI,Locked out of Heaven,Bruno Mars,https://i.scdn.co/image/ab67616d0000b27349055dce3554e72e82082980,0.728,0.697,-4.125,0.0456,0.0556,0.0,0.282,0.87,143.986
69bp2EbF7Q2rqc5N3ylezZ,Sorry,Justin Bieber,https://i.scdn.co/image/ab67616d0000b273b6d9a4fbb0bd49f0f034aead,0.654,0.76,-3.669,0.045,0.0797,0.0,0.299,0.41,99.945
4WjH9Bzt3kx7z8kl0awxh4,Lean On (feat. MØ & DJ Snake),"Major Lazer, MØ, DJ Snake",https://i.scdn.co/image/ab67616d0000b2739f55dad3a63f72f1bc8d6f59,0.723,0.809,-3.081,0.0625,0.00346,0.00123,0.565,0.274,98.007
2ekn2ttSfGqwhhate0LSR0,New Rules,Dua Lipa,https://i.scdn.co/image/ab67616d0000b273838698485511bd9108fadadc,0.762,0.7,-6.021,0.0694,0.00261,1.56e-05,0.153,0.608,116.073
7JJmb5XwzOO8jgpou264Ml,There's Nothing Holdin' Me Back,Shawn Mendes,https://i.scdn.co/image/ab67616d0000b273ea3ef7697cfd5705b8f47521,0.866,0.811,-4.063,0.0553,0.375,0.0,0.078,0.969,121.995
463CkQjx2Zk1yXoBuierM9,Levitating (feat. DaBaby),"Dua Lipa, DaBaby",https://i.scdn.co/image/ab67616d0000b273c5e7aa639b2920099f8c3b94,0.702,0.825,-3.787,0.0601,0.00883,0.0,0.0674,0.915,102.977
